L/2,density,probability_of_spread,south_wind_speed,west_wind_speed,big-jumps,percentage-burned
450,90,60,0,0,FALSE,81.00882322
450,10,80,0,0,FALSE,4.27756654
450,20,80,0,0,FALSE,2.309943834
450,30,80,0,0,FALSE,1.795075457
450,40,80,0,0,FALSE,1.662993388
450,50,80,0,0,FALSE,2.085648075
450,60,80,0,0,FALSE,2.589418778
450,70,80,0,0,FALSE,26.86835576
450,80,80,0,0,FALSE,96.62597423
450,90,80,0,0,FALSE,99.56808808
450,10,100,0,0,FALSE,4.523809524
450,20,100,0,0,FALSE,2.519410553
450,30,100,0,0,FALSE,2.17957578
450,40,100,0,0,FALSE,2.113606341
450,50,100,0,0,FALSE,3.179310565
450,60,100,0,0,FALSE,60.64222866
450,70,100,0,0,FALSE,98.6314493
450,80,100,0,0,FALSE,100.2812519
450,90,100,0,0,FALSE,100.4331377
450,10,20,0,0,FALSE,4.041204437
450,20,20,0,0,FALSE,2.161336976
450,30,20,0,0,FALSE,1.420590583
450,40,20,0,0,FALSE,1.105016615
450,50,20,0,0,FALSE,0.866941886
450,60,20,0,0,FALSE,0.754015664
450,70,20,0,0,FALSE,0.714107592
450,80,20,0,0,FALSE,0.64142272
450,90,20,0,0,FALSE,0.605135668
450,10,40,0,0,FALSE,4.127787443
450,20,40,0,0,FALSE,2.172539106
450,30,40,0,0,FALSE,1.549854536
450,40,40,0,0,FALSE,1.23814118
450,50,40,0,0,FALSE,1.095297227
450,60,40,0,0,FALSE,0.935347112
450,70,40,0,0,FALSE,0.965501537
450,80,40,0,0,FALSE,0.976240183
450,90,40,0,0,FALSE,1.167294435
450,10,60,0,0,FALSE,4.434053531
450,20,60,0,0,FALSE,2.30879086
450,30,60,0,0,FALSE,1.724688598
450,40,60,0,0,FALSE,1.474358974
450,50,60,0,0,FALSE,1.319558431
450,60,60,0,0,FALSE,1.402131239
450,70,60,0,0,FALSE,2.254765755
450,80,60,0,0,FALSE,3.85784986
450,90,60,0,0,FALSE,80.0219306
450,10,80,0,0,FALSE,4.410817772
450,20,80,0,0,FALSE,2.248086735
450,30,80,0,0,FALSE,1.930787086
450,40,80,0,0,FALSE,1.796407186
450,50,80,0,0,FALSE,1.689781604
450,60,80,0,0,FALSE,2.387084783
450,70,80,0,0,FALSE,67.83381713
450,80,80,0,0,FALSE,96.88857883
450,90,80,0,0,FALSE,99.41470833
450,10,100,0,0,FALSE,4.258328096
450,20,100,0,0,FALSE,2.474969964
450,30,100,0,0,FALSE,2.047745358
450,40,100,0,0,FALSE,2.048
450,50,100,0,0,FALSE,3.830677101
450,60,100,0,0,FALSE,72.47302707
450,70,100,0,0,FALSE,99.05494956
450,80,100,0,0,FALSE,100.2823118
450,90,100,0,0,FALSE,100.4264279
450,10,100,0,0,FALSE,4.533844189
450,20,100,0,0,FALSE,2.466762774
450,30,100,0,0,FALSE,2.013778484
450,40,100,0,0,FALSE,2.146596859
450,50,100,0,0,FALSE,3.417209332
450,60,100,0,0,FALSE,63.94496147
450,70,100,0,0,FALSE,98.14823251
450,80,100,0,0,FALSE,100.2522594
450,90,100,0,0,FALSE,100.4359461
450,10,100,0,0,TRUE,4.29197995
450,20,100,0,0,TRUE,2.491813753
450,30,100,0,0,TRUE,1.969365427
450,40,100,0,0,TRUE,2.038947075
450,50,100,0,0,TRUE,2.532209321
450,60,100,0,0,TRUE,63.01646309
450,70,100,0,0,TRUE,98.58594585
450,80,100,0,0,TRUE,100.2914928
450,90,100,0,0,TRUE,100.4342509
450,10,100,0,0,FALSE,4.242902208
450,20,100,0,0,FALSE,2.503553941
450,30,100,0,0,FALSE,1.886492502
450,40,100,0,0,FALSE,2.179420162
450,50,100,0,0,FALSE,2.947954676
450,60,100,0,0,FALSE,58.19148936
450,70,100,0,0,FALSE,98.77048249
450,80,100,0,0,FALSE,100.3086604
